PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,Description
-20.67525411062071,7.545532051666423,-2.22850582651845,11.631688939582311,-3.3116898546335043,0.7847559230799698,-12.13932820800584,10.545318984683453,6.665745830304834,9.95617673953689,-4.2043624879955335,-11.161136409660298,-7.361773807802167,6.715159206070479,-11.905566840158977,-13.056560585639547,2.9430896762389103,-0.27327457527095106,-5.294502483210919,0.36747820553549565,2.3916108817081114,1.0805972087633848,0.37700830984518474,1.459227310126198e-14,"Thigh lunge, medium difficulty, no equipment"
-15.247974926338408,14.680720588972104,19.092096726184227,-6.360206456141352,15.909526278575296,-14.039427475449854,-9.33444002260367,-7.865175724912828,2.1250340959573086,-0.8083098898820612,0.6117754420985496,-9.80004675689469,-0.026199589243245856,8.81494209098044,3.2655917788639632,3.856473475211154,-3.111851307572431,-1.8225901862246996,4.324864760968641,8.76842644563854,-4.213146994296964,2.6740851398029335,-2.0895950024193946,1.459227310126201e-14,"Calf raises, easy difficulty, no equipment"
-29.877543734688697,7.565476273278612,-16.218772871813325,-3.8763521608660336,-11.649003976874882,7.578670820519958,3.0947955961481965,-6.215129130813012,-0.4001853570533625,0.7601946488883998,4.381485138636211,6.731355990360708,5.013980538647413,-0.311426471959897,1.8676748262189196,-5.310941216951354,-3.2217769889007277,-2.363213877063745,1.8488024900632551,1.3305482531329431,1.314046099331733,4.451032867814766,0.6965724028745119,1.6832179614022506e-14,"Thigh stretch, hard difficulty, no equipment"
-26.77374875124841,9.283240287537762,-17.87635590422892,-6.046864609322224,-15.310542922266679,6.52985761592273,-4.0251210692167,-2.4943878407430744,-0.3873489324280194,2.2937595084414117,1.4933236307683715,-1.1455943290547013,0.5740128029042825,0.25705916635328213,2.9749556196431484,-3.014039040766906,-0.28038421912552386,0.14765910333835489,1.089719040217476,1.1125745622528949,-5.705320699678415,-10.547270287451022,-3.124789131696363,1.4592273101262e-14,"Thigh stretch, medium difficulty, no equipment"
-18.668542870287748,-15.727999199539733,-3.0778378900056307,23.651278516843508,18.70212483057225,11.321125479343054,13.247540293853291,0.26966679165741086,-1.5210419849727579,3.6740766095471624,5.6724215130385405,1.281612608691676,-8.652373914661275,-3.9909104702559492,-4.116411494711818,3.0128978474962262,-0.1346337826039012,-3.4885700422713675,1.7723434605232173,-4.938553601692058,-4.955042476871731,2.5568321134898175,-5.623240438007811,1.4592273101262003e-14,"Hip rotations, hard difficulty, no equipment"
-21.871907101056927,-14.987862998516224,-7.660096766014302,16.11446997619495,7.905718785923931,8.725431976477186,17.020850749522427,-4.416081884814347,5.4893820111340235,-4.296608714384605,-2.777887688470844,-4.676503567535727,1.2202807940707316,-9.14380645196919,2.5987857844920934,4.688445308353671,5.169542480216276,5.1130266491500995,-6.848703615874675,8.402126363249119,3.2713142270004463,-1.370039257667686,1.5743065337838806,1.4592273101261965e-14,"Hip twists, hard difficulty, no equipment"
-21.455827637787774,11.883440088194105,-1.8324870197636949,19.672877123549146,-13.317492699631538,-1.5807925261970106,-15.00236452560695,0.8436443458571842,-23.816112682349836,-8.030699494385471,-13.397272638964916,-1.3541686471649972,-4.502249821842761,0.663564514331005,2.9454208413224365,8.579620016297746,-0.5513133226672002,3.2251135650646945,-1.2360820613279815,-2.0928030041959045,1.0971873370062588,1.586691574193025,-0.22096626790442397,1.459227310126198e-14,"Thigh lift, medium difficulty, no equipment"
-29.877543734688675,7.565476273278608,-16.218772871813325,-3.8763521608660336,-11.649003976874884,7.57867082051994,3.09479559614819,-6.215129130813011,-0.4001853570533538,0.7601946488884036,4.381485138636206,6.731355990360702,5.01398053864741,-0.3114264719599008,1.8676748262189158,-5.310941216951348,-3.221776988900724,-2.3632138770637314,1.8488024900632518,1.3305482531329396,1.3140460993317318,4.451032867814762,0.6965724028745083,1.2352366588501465e-14,"Thigh stretch, hard difficulty, no equipment"
-19.57017359178237,19.931141045443184,9.680888541161764,8.76457584170043,10.035035007818564,6.698252041579014,-18.56709091697408,21.10558537075859,15.716021560402227,-3.5240396216997585,1.3882891168786249,12.872699797148702,6.238421450323031,-2.711852014563822,-1.155651516856601,7.933873290321579,-0.6039718182930639,1.092636528940589,2.3037994856876076,-0.4385421089673971,0.10251427430516208,-0.9973182475467661,1.5157911086464884,1.4592273101261968e-14,"Thigh squats, easy difficulty, no equipment"
0.3977014823709368,-24.532508917641067,6.502902813055976,-13.294856259571759,-7.266015723537655,-12.056571219838707,-12.432651493900696,-6.03563678274303,1.5230490407781694,-14.218367296939919,2.1762172196214093,5.305226616232416,-2.1854186828644573,-5.614573462340216,-5.644857997549246,0.7726757123112235,7.206311347785086,-11.075372933622036,-6.652025295610436,0.08519659261950414,-2.94302103456052,0.37153817556632235,0.7465349168290452,1.4592273101261965e-14,"Wrist extensions, easy difficulty, no equipment"
-19.860370655024486,-1.9908834716484556,2.4124709884863944,18.93066503966946,10.409179115558189,-12.335890508813517,8.249777817490216,-8.40585018228341,6.123452184234403,-12.463962338970871,1.9654891215667296,-7.05737468078632,0.396660332776388,5.1973392947299635,4.9488465914120265,-4.686405052888497,-3.3648732295236767,-1.987791881876466,3.44258925111652,-6.872025194004836,1.1587937536093234,-3.06834729268124,5.6273450116554935,1.459227310126197e-14,"Hip raises, hard difficulty, no equipment"
